,short_name,age,height_cm,weight_kg,club,wage_eur,pace,shooting,passing,dribbling,defending,gk_diving,gk_handling,gk_kicking,gk_speed,gk_positioning
2168,D. ValdÃ©s,23,178,75,Monarcas Morelia,11000,80,68,72,74,52,,,,,
2169,M. Oikonomou,24,189,85,SPAL,36000,60,25,43,56,76,,,,,
2170,F. Mubele,23,178,71,Stade Rennais FC,22000,81,74,53,74,23,,,,,
2171,G. MaripÃ¡n,23,193,83,Deportivo AlavÃ©s,18000,54,33,48,46,73,,,,,
2172,D. Kuzyaev,24,182,74,Zenit St. Petersburg,40000,71,62,70,73,70,,,,,
2173,M. Mahi,23,181,69,FC Groningen,12000,80,77,64,78,37,,,,,
2174,S. Johansen,26,182,76,Fulham,42000,70,68,74,73,61,,,,,
2175,S. Aziz,26,183,79,Galatasaray SK,45000,73,32,53,57,73,,,,,
2176,NÃ©lson Oliveira,25,186,82,Norwich City,37000,71,75,63,71,39,,,,,
2177,N. Rigoni,26,187,84,Chievo Verona,17000,61,55,71,71,66,,,,,
2178,L. Sepe,26,185,75,Napoli,38000,,,,,,73,75,61,47,71
2179,T. Usami,25,178,69,Fortuna DÃ¼sseldorf,23000,77,68,71,78,30,,,,,
2180,N. Araujo,25,188,87,Santos Laguna,19000,68,41,50,56,74,,,,,
2181,Rafael,27,186,83,Napoli,38000,,,,,,75,73,71,54,73
2182,F. ÄuriÄiÄ,25,181,72,Sampdoria,31000,76,65,71,78,35,,,,,
2183,M. Kanunnikov,25,184,80,Rubin Kazan,42000,85,70,64,74,33,,,,,
2184,B. Hamid,26,191,102,DC United,7000,,,,,,75,72,67,41,73
2185,P. Lasogga,25,189,88,Leeds United,33000,48,80,44,62,35,,,,,
2186,T. Sainsbury,25,184,75,Australia,0,74,49,67,61,75,,,,,
2187,Diego MariÃ±o,27,187,76,Real Sporting de GijÃ³n,9000,,,,,,75,71,69,48,72
2188,Carles Planas,26,173,76,Girona FC,21000,75,38,63,68,71,,,,,
2189,T. Ince,25,178,66,Huddersfield Town,46000,79,69,68,77,26,,,,,
2190,T. CiÄerci,25,185,80,Galatasaray SK,43000,65,62,71,70,71,,,,,
2191,M. Leitner,24,176,68,FC Augsburg,21000,74,65,74,79,51,,,,,
2192,L. Carole,26,182,79,Sevilla FC,45000,83,40,65,73,71,,,,,
2193,A. Acquah,25,179,70,Torino,37000,79,63,68,75,72,,,,,
2194,R. Falk Jensen,25,177,67,FC KÃ¸benhavn,20000,82,65,63,78,27,,,,,
2195,O. Onazi,24,173,73,Trabzonspor,23000,80,64,72,76,69,,,,,
2196,N. Kebano,25,170,65,Fulham,44000,82,73,70,76,31,,,,,
2197,Diogo Figueiras,26,168,64,Olympiacos CFP,1000,82,56,68,76,70,,,,,
2198,M. WaguÃ©,26,191,87,Watford,24000,58,33,41,44,74,,,,,
2199,O. DramÃ©,24,174,70,Moreirense FC,7000,92,64,63,80,38,,,,,
2200,S. Ristovski,25,180,72,Sporting CP,14000,81,61,63,74,70,,,,,
2201,T. RogiÄ,24,187,80,Celtic,42000,70,70,69,76,37,,,,,
2202,A. Plata,26,173,65,Independiente Santa Fe,6000,91,71,57,74,38,,,,,
2203,M. Mevlja,27,190,83,Zenit St. Petersburg,47000,70,38,59,57,76,,,,,
2204,E. Cerutti,25,179,75,San Lorenzo de Almagro,20000,90,65,68,76,26,,,,,
2205,I. Novoseltsev,25,190,80,Zenit St. Petersburg,45000,65,29,58,54,75,,,,,
2206,M. DmitroviÄ,25,190,81,SD Eibar,14000,,,,,,68,78,77,37,77
2207,G. Cimirot,24,178,74,PAOK,1000,74,67,71,73,65,,,,,
2208,MaurÃ­cio AntÃ³nio,25,183,82,Urawa Red Diamonds,12000,65,30,49,49,74,,,,,
2209,M. Demir,25,180,69,Sivasspor,16000,78,74,69,81,31,,,,,
2210,J. Rodwell,26,188,71,Sunderland,12000,63,71,71,73,73,,,,,
2211,RaÃºl FernÃ¡ndez,29,196,86,Levante UD,18000,,,,,,75,76,60,42,75
2212,P. Mpoku,25,180,79,Standard de LiÃ¨ge,16000,76,75,72,76,47,,,,,
2213,M. Rojas,25,168,64,SC Heerenveen,12000,90,69,68,81,21,,,,,
2214,M. PeybernÃ¨s,26,187,77,GÃ¶ztepe SK,17000,57,30,49,50,76,,,,,
2215,Suk Hyun Jun,26,190,84,ESTAC Troyes,15000,64,74,58,72,34,,,,,
2216,I. Tsallagov,26,179,77,Dinamo Moscow,47000,81,49,66,72,69,,,,,
2217,Hong Chul,26,176,67,Sangju Sangmu FC,9000,91,47,69,70,67,,,,,
2218,B. Dja DjÃ©djÃ©,26,168,75,Watford,44000,78,59,69,73,71,,,,,
2219,R. van Rhijn,26,179,72,AZ Alkmaar,20000,82,59,69,68,71,,,,,
2220,B. Dejaegere,26,173,71,KAA Gent,21000,77,62,69,79,66,,,,,
2221,Mauro,26,177,72,SC Braga,11000,68,47,69,69,73,,,,,
2222,A. Ba,26,197,79,Rayo Vallecano,11000,54,38,46,42,76,,,,,
2223,G. Sakai,26,176,74,Hamburger SV,29000,75,47,69,72,71,,,,,
2224,R. Olsen,27,196,89,FC KÃ¸benhavn,16000,,,,,,69,75,71,35,72
2225,M. Dijks,24,194,93,Ajax,10000,76,40,63,64,73,,,,,
2226,L. Zuffi,27,180,70,FC Basel 1893,32000,66,70,82,73,69,,,,,
2227,A. Niane,24,182,70,ESTAC Troyes,22000,74,74,51,70,20,,,,,
2228,AndrÃ© Geraldes,26,181,74,Os Belenenses,14000,78,41,65,66,73,,,,,
2229,P. Gallese,27,189,77,Peru,0,,,,,,77,69,68,47,72
2230,F. AndrijaÅ¡eviÄ,26,186,81,KAA Gent,21000,70,75,69,69,53,,,,,
2231,E. Albayrak,26,179,69,Atiker Konyaspor,17000,82,67,75,75,67,,,,,
2232,A. Sinitsyn,29,196,86,FC Krasnodar,30000,,,,,,73,73,71,41,74
2233,J. Johansson,27,188,87,AEK Athens,1000,55,63,64,64,72,,,,,
2234,M. Langerak,28,193,81,Levante UD,18000,,,,,,77,73,52,50,70
2235,L. Mchedlidze,27,190,85,Empoli,5000,67,69,55,69,29,,,,,
2236,A. Clayton,28,175,75,Middlesbrough,18000,68,63,72,70,68,,,,,
2237,V. Vasin,28,192,83,PFC CSKA Moscow,38000,67,41,58,45,75,,,,,
2238,Dani Pacheco,26,168,65,Getafe CF,22000,74,66,72,81,30,,,,,
2239,E. Room,28,189,88,PSV,13000,,,,,,75,74,69,45,70
2240,D. Diekmeier,27,188,79,Hamburger SV,29000,86,40,65,66,70,,,,,
2241,Diego FarÃ­as,27,173,66,Cagliari,50000,88,67,67,80,23,,,,,
2242,D. Äop,27,184,73,Standard de LiÃ¨ge,18000,59,77,65,70,33,,,,,
2243,S. Armenteros,27,181,80,Benevento,30000,67,72,62,75,34,,,,,
2244,A. PrijoviÄ,27,191,88,PAOK,1000,73,71,54,69,37,,,,,
2245,M. Samassa,27,198,85,ESTAC Troyes,17000,,,,,,78,71,67,52,71
2246,I. Opara,28,188,82,Sporting Kansas City,9000,84,38,52,56,71,,,,,
2247,KlÃ©ber,27,187,81,Estoril Praia,11000,57,73,64,73,33,,,,,
2248,N. Hult,27,173,66,Panathinaikos FC,1000,84,59,71,72,68,,,,,
2249,D. Falcinelli,26,185,75,Sassuolo,50000,73,73,52,70,20,,,,,
2250,L. Sobiech,26,196,88,FC St. Pauli,18000,51,50,47,41,75,,,,,
2251,F. Moubandje,27,180,74,Toulouse Football Club,25000,71,48,65,70,75,,,,,
2252,Guerrero,26,180,79,CD LeganÃ©s,25000,70,73,61,68,36,,,,,
2253,L. TraorÃ©,27,203,87,Amiens SC,34000,68,73,51,64,34,,,,,
2254,K. Mokotjo,26,175,72,Brentford,42000,72,49,71,74,66,,,,,
2255,I. Nestorovski,27,182,76,Palermo,6000,72,73,49,71,32,,,,,
2256,Deivid,28,189,73,Real Valladolid CF,10000,64,39,62,72,74,,,,,
2257,K. Lamprou,25,178,64,Ajax,9000,,,,,,78,65,75,44,66
2258,A. Christiansen,27,174,68,MalmÃ¶ FF,8000,74,63,72,72,65,,,,,
2259,J. Forrest,25,175,67,Celtic,46000,90,65,69,77,24,,,,,
2260,AndrÃ© Martins,27,169,62,Olympiacos CFP,1000,79,63,73,80,53,,,,,
2261,Juankar,27,179,72,MÃ¡laga CF,21000,77,63,69,75,67,,,,,
2262,Ãlex MartÃ­nez,26,176,67,Granada CF,10000,76,56,67,69,71,,,,,
2263,T. Serero,27,172,58,Vitesse,13000,80,49,67,78,63,,,,,
2264,A. Erokhin,27,195,79,Zenit St. Petersburg,52000,63,74,70,71,63,,,,,
2265,D. Lezcano,27,178,79,FC Ingolstadt 04,25000,84,73,68,75,43,,,,,
2266,David SimÃ³n,27,175,68,UD Las Palmas,18000,77,46,66,70,70,,,,,
2267,A. Katai,26,182,70,Deportivo AlavÃ©s,23000,65,74,73,78,37,,,,,
2268,L. Abecasis,27,175,73,Godoy Cruz,13000,85,41,68,73,68,,,,,
2269,Albentosa,28,192,86,Deportivo de La CoruÃ±a,22000,35,47,52,41,74,,,,,
2270,K. Panchenko,27,185,80,Dinamo Moscow,35000,76,75,70,72,27,,,,,
2271,Gerso,26,172,65,Sporting Kansas City,10000,93,67,63,78,36,,,,,
2272,J. AdÃ©oti,28,183,81,AJ Auxerre,9000,56,44,63,54,73,,,,,
2273,Renato Santos,25,177,75,Boavista FC,9000,78,68,67,76,30,,,,,
2274,Y. Al Shahrani,25,170,61,Al Hilal,32000,87,58,69,72,70,,,,,
2275,D. Accam,26,174,79,Chicago Fire,10000,94,69,65,74,44,,,,,
2276,A. Semenov,28,190,86,Terek Grozny,31000,53,40,57,59,75,,,,,
2277,L. QuiÃ±ones,26,178,70,Lobos BUAP,54000,91,69,66,76,23,,,,,
2278,Postigo,28,185,78,Levante UD,22000,63,45,45,53,74,,,,,
2279,G. Carrillo,26,191,87,AS Monaco,34000,63,75,53,70,35,,,,,
2280,K. Molino,27,184,65,Minnesota United FC,9000,77,70,65,77,46,,,,,
2281,Eraso,27,180,71,CD LeganÃ©s,23000,64,70,71,68,58,,,,,
2282,B. Nivet,40,178,75,ESTAC Troyes,16000,52,74,76,72,55,,,,,
2283,C. Samba,33,195,100,Aston Villa,32000,30,48,45,46,75,,,,,
2284,A. McGregor,35,183,84,Hull City,6000,,,,,,75,71,69,38,73
2285,L. Butelle,34,190,86,Club Brugge KV,17000,,,,,,78,73,65,36,73
2286,P. Crouch,36,201,75,Stoke City,47000,33,75,68,66,32,,,,,
2287,Fernando Navarro,35,177,68,Deportivo de La CoruÃ±a,15000,58,50,66,66,78,,,,,
2288,C. Gordon,34,193,83,Celtic,36000,,,,,,72,71,72,35,70
2289,N. de Jong,32,174,72,Galatasaray SK,45000,61,51,66,68,72,,,,,
2290,C. Bovo,34,181,79,Pescara,5000,47,50,55,61,76,,,,,
2291,B. Castro,34,191,83,Heracles Almelo,9000,,,,,,73,72,52,35,78
2292,R. Cohade,32,180,74,FC Metz,16000,54,68,76,73,65,,,,,
2293,R. Fanni,35,186,78,Olympique de Marseille,18000,67,54,64,65,72,,,,,
2294,L. Pionnier,35,183,77,Montpellier HSC,12000,,,,,,77,71,70,50,75
2295,M. Dawson,33,188,76,Hull City,12000,29,33,44,37,76,,,,,
2296,M. Rensing,33,191,93,Fortuna DÃ¼sseldorf,19000,,,,,,76,74,67,41,70
2297,A. KonÃ©,33,182,81,Sivasspor,17000,76,73,62,73,35,,,,,
2298,E. GÃ¼lÃ¼m,30,185,85,Adelaide United,7000,59,51,54,57,72,,,,,
2299,Z. Gera,38,183,75,Hungary,0,49,73,77,76,61,,,,,
2300,D. Croce,34,175,68,US Cremonese,5000,77,59,72,75,65,,,,,
2301,G. Pandev,33,184,75,Genoa,32000,59,73,71,80,38,,,,,
2302,D. Maietta,34,184,75,Bologna,42000,40,18,41,49,77,,,,,
2303,Y. Jouffre,32,176,74,FC Metz,16000,68,67,76,74,43,,,,,
2304,M. Janko,34,196,93,Sparta Praha,1000,51,77,52,61,35,,,,,
2305,M. LÃ³pez,33,190,88,Udinese,28000,43,74,62,70,24,,,,,
2306,J. Morel,33,172,71,Olympique Lyonnais,48000,73,53,63,63,74,,,,,
2307,D. Marshall,32,190,83,Hull City,9000,,,,,,73,71,67,49,73
2308,Aitor Sanz,32,181,71,CD Tenerife,9000,67,62,74,70,66,,,,,
2309,L. Romagnoli,36,172,68,San Lorenzo de Almagro,15000,56,68,76,75,35,,,,,
2310,M. VelÃ¡zquez,36,176,72,Club Atlético Lanús,11000,63,68,77,71,74,,,,,
2311,G. Karadeniz,37,168,68,Rubin Kazan,30000,73,71,69,80,47,,,,,
2312,L. Pocrnjic,35,190,86,Newell's Old Boys,8000,,,,,,74,72,64,29,74
2313,S. KÄ±rÄ±ntÄ±lÄ±,32,185,78,Atiker Konyaspor,14000,,,,,,73,72,68,49,73
2314,Mikel Rico,32,178,76,Athletic Club de Bilbao,22000,53,63,70,66,70,,,,,
2315,V. Gabulov,33,190,81,Arsenal Tula,20000,,,,,,71,73,76,56,77
2316,A. Rebrov,33,193,90,Spartak Moscow,38000,,,,,,74,68,65,36,78
2317,J. DrobnÃ½,37,192,90,SV Werder Bremen,13000,,,,,,73,77,45,36,76
2318,R. Salin,32,189,76,Sporting CP,12000,,,,,,74,70,66,31,72
2319,J. Puncheon,31,173,66,Crystal Palace,48000,67,70,75,75,61,,,,,
2320,BobÃ´,32,186,85,Sydney FC,12000,67,74,64,69,27,,,,,
2321,E. Barreto,32,180,79,Sampdoria,33000,68,65,73,70,70,,,,,
2322,J. MartÃ­nez,31,177,72,Independiente,21000,77,72,67,79,37,,,,,
2323,Ãngel Rangel,34,178,82,Swansea City,52000,50,59,71,72,79,,,,,
2324,B. BiaÅkowski,29,193,86,Ipswich Town,16000,,,,,,73,72,67,42,73
2325,C. Adam,31,185,83,Stoke City,57000,43,75,79,67,58,,,,,
2326,T. Sivok,33,185,78,Czech Republic,0,47,45,57,55,75,,,,,
2327,Y. Gouffran,31,176,76,GÃ¶ztepe SK,19000,73,72,71,76,51,,,,,
2328,Ricardo,36,186,78,FC PaÃ§os de Ferreira,8000,52,34,47,57,73,,,,,
2329,B. Berisha,31,185,80,Melbourne Victory,12000,74,69,58,72,26,,,,,
2330,M. Russ,31,190,88,Eintracht Frankfurt,24000,31,47,53,42,76,,,,,
2331,S. Carson,31,190,86,Derby County,38000,,,,,,74,70,76,47,75
2332,Gao Lin,31,186,83,China PR,0,72,71,72,73,56,,,,,
2333,K. Reichel,30,185,83,Eintracht Braunschweig,22000,74,70,66,67,72,,,,,
2334,LÃ©o Matos,31,182,77,PAOK,1000,80,69,70,74,71,,,,,
2335,A. Romao,33,180,74,Olympiacos CFP,1000,51,55,66,67,73,,,,,
2336,D. Delaney,35,191,89,Crystal Palace,32000,32,41,49,39,74,,,,,
2337,A. PÃ©rez,36,180,75,Deportivo Cali,3000,50,64,67,63,72,,,,,
2338,Ãlton,31,159,59,Al Qadisiyah,17000,89,70,74,75,34,,,,,
2339,R. Ribagaso,29,177,73,CD Universidad de ConcepciÃ³n,5000,72,49,68,64,74,,,,,
2340,M. Galvarado,25,177,75,CD Universidad de ConcepciÃ³n,5000,74,53,63,73,72,,,,,
2341,A. Jelverado,33,192,79,CD Antofagasta,5000,54,45,66,59,74,,,,,
2342,P. Ketlun,25,190,88,Universidad de Chile,12000,43,48,55,50,74,,,,,
2343,K. Moncora,25,183,79,Universidad de Chile,12000,56,47,57,53,75,,,,,
2344,M. PeÃ±azco,33,177,72,Universidad CatÃ³lica,7000,73,57,74,72,70,,,,,
2345,G. Suleziano,25,177,78,Deportes Iquique,4000,74,64,69,70,70,,,,,
2346,J. Guerredero,25,183,71,Deportes Iquique,4000,74,56,71,71,71,,,,,
2347,A. Desenda,29,178,70,Universidad CatÃ³lica,9000,79,62,72,73,44,,,,,
2348,G. Gutierrez,25,178,75,Universidad CatÃ³lica,8000,76,63,72,76,36,,,,,
2349,V. Albarado,29,183,77,CD Antofagasta,5000,71,65,75,74,39,,,,,
2350,V. Acerval,29,188,85,Colo-Colo,6000,,,,,,71,72,73,42,75
2351,A. Corveto,25,193,88,UniÃ³n EspaÃ±ola,5000,,,,,,68,76,74,18,77
2352,J. Neiroga,25,182,82,CD O'Higgins,7000,83,57,65,75,71,,,,,
2353,C. Nevorrete,25,177,73,CD O'Higgins,7000,73,46,67,73,75,,,,,
2354,G. Daralla,25,183,79,CD Everton de ViÃ±a del Mar,5000,56,46,59,50,74,,,,,
2355,E. Evaldes,29,181,79,CD Everton de ViÃ±a del Mar,5000,68,54,58,63,73,,,,,
2356,G. Contreso,33,187,82,Universidad CatÃ³lica,7000,54,47,55,49,74,,,,,
2357,N. Barresta,25,177,72,CD O'Higgins,8000,75,62,75,76,52,,,,,
2358,N. Fuenzas,29,179,76,CD Universidad de ConcepciÃ³n,5000,75,72,65,67,73,,,,,
2359,P. Retomal,25,177,84,UniÃ³n EspaÃ±ola,6000,59,68,68,70,72,,,,,
2360,E. PeÃ±arendi,33,170,67,CD Everton de ViÃ±a del Mar,5000,51,73,75,74,30,,,,,
2361,B. Rasaldo,33,180,74,UniÃ³n EspaÃ±ola,7000,74,63,75,75,34,,,,,
2362,D. Percidino,33,169,66,Universidad de Chile,13000,79,63,71,77,31,,,,,
2363,C. Despredal,33,181,74,CD Huachipato,9000,76,61,72,74,30,,,,,
2364,A. Naranjeda,33,175,75,Colo-Colo,8000,72,72,73,75,29,,,,,
2365,J. Gustaldo,25,180,92,Universidad CatÃ³lica,9000,55,76,60,66,22,,,,,
2366,M. MeÃ±arez,25,180,76,CD O'Higgins,9000,83,72,58,74,33,,,,,
2367,C. SortomayrÃ©s,25,175,70,Universidad de Chile,14000,79,76,57,63,22,,,,,
2368,M. Salcatorini,33,170,67,CD Universidad de ConcepciÃ³n,6000,67,68,69,76,37,,,,,
2369,B. Watson,31,181,80,Watford,44000,50,68,76,71,68,,,,,
2370,D. Padelli,31,191,82,Inter,38000,,,,,,74,74,63,44,76
2371,P. Barrientos,32,176,69,Deportivo Toluca,18000,63,67,77,77,34,,,,,
2372,G. Whelan,33,180,80,Aston Villa,32000,42,63,70,68,74,,,,,
2373,D. CongrÃ©,32,185,80,Montpellier HSC,23000,57,30,62,66,74,,,,,
2374,G. Jourdren,31,181,80,AS Nancy Lorraine,7000,,,,,,78,69,67,49,71
2375,J. FÃ©ret,34,187,76,Stade Malherbe Caen,23000,46,69,76,73,53,,,,,
2376,S. Larsson,32,178,70,Hull City,13000,56,74,77,72,62,,,,,
2377,C. Obasi,31,188,79,AIK,12000,70,73,67,77,40,,,,,
2378,D. Aogo,30,184,85,VfB Stuttgart,22000,68,56,74,73,73,,,,,
2379,Bruno Gama,29,175,72,Deportivo de La CoruÃ±a,23000,73,68,74,76,41,,,,,
2380,T. Sparv,30,194,84,FC Midtjylland,25000,52,54,67,61,73,,,,,
2381,J. Ledley,30,183,73,Wales,0,58,65,72,65,70,,,,,
2382,J. Ortiz,33,180,74,Belgrano de CÃ³rdoba,14000,72,64,72,71,68,,,,,
2383,L. Ulloa,30,188,89,Leicester City,62000,49,72,62,69,42,,,,,
2384,BebÃ©,26,190,83,SD Eibar,20000,83,73,69,75,28,,,,,
2385,H. Balta,34,184,80,Galatasaray SK,45000,41,61,69,64,75,,,,,
2386,I. Maksimov,30,183,74,Arsenal Tula,27000,57,69,69,74,53,,,,,
2387,M. RadoviÄ,33,182,78,Legia Warszawa,11000,62,66,70,76,42,,,,,
2388,K. Nababkin,30,184,77,PFC CSKA Moscow,37000,82,57,65,62,74,,,,,
2389,J. MÃ©ndez,32,178,77,Deportivo Toluca,18000,63,65,72,72,65,,,,,
2390,Y. Cahuzac,32,178,70,Toulouse Football Club,25000,51,46,66,62,72,,,,,
2391,J. Sorbon,33,183,79,En Avant de Guingamp,21000,34,31,58,46,77,,,,,
2392,H. Rodallega,31,181,72,Trabzonspor,32000,75,72,68,75,39,,,,,
2393,Z. KuzmanoviÄ,29,186,80,MÃ¡laga CF,36000,44,68,74,68,70,,,,,
2394,B. DramÃ©,31,181,74,Atalanta,24000,80,56,63,72,72,,,,,
2395,T. Al Jassam,32,168,67,Al Ahli,33000,71,68,70,71,72,,,,,
2396,R. Riou,29,189,81,Alanyaspor,12000,,,,,,74,71,79,57,72
2397,S. GakpÃ©,30,177,79,Amiens SC,19000,89,71,66,77,28,,,,,
2398,M. Richards,29,180,83,Aston Villa,34000,72,46,58,62,70,,,,,
2399,U. Emanuelson,31,176,68,FC Utrecht,13000,81,65,73,79,69,,,,,
2400,W. Hennessey,30,198,90,Crystal Palace,36000,,,,,,73,76,80,41,76
2401,F. Bastians,29,188,83,VfL Bochum 1848,18000,81,59,69,66,73,,,,,
2402,David RodrÃ­guez,31,178,75,CA Osasuna,12000,81,75,57,69,34,,,,,
2403,I. Scocco,32,177,73,River Plate,23000,77,75,69,77,30,,,,,
2404,J. Basanta,33,188,78,Monterrey,44000,62,49,54,55,74,,,,,
2405,G. PeÃ±alba,32,194,91,Cruz Azul,29000,46,68,72,72,68,,,,,
2406,J. Troisi,28,180,81,Melbourne Victory,11000,77,69,72,74,37,,,,,
2407,Elustondo,30,184,79,AtlÃ©tico Nacional,6000,57,64,73,66,72,,,,,
2408,M. Jensen,29,177,75,Rosenborg BK,9000,77,69,72,75,64,,,,,
2409,S. Aluko,28,173,75,Reading,38000,88,67,70,78,36,,,,,
2410,N. Taylor,28,175,75,Aston Villa,34000,72,39,66,70,75,,,,,
2411,J. Herrera,36,184,87,Chile,0,,,,,,70,77,77,55,71
2412,K. MÄczyÅski,30,175,69,Legia Warszawa,10000,66,53,74,74,69,,,,,
2413,Feng Xiaoting,31,187,83,China PR,0,63,41,65,66,75,,,,,
2414,HÃ©lder Barbosa,30,172,67,Akhisar Belediyespor,20000,80,70,69,78,42,,,,,
2415,K. Kamara,32,188,75,New England Revolution,10000,76,72,60,71,28,,,,,
2416,D. McCarty,30,175,68,Chicago Fire,8000,60,54,68,70,71,,,,,
2417,Yeom Ki Hun,34,182,78,Suwon Samsung Bluewings,11000,69,71,77,72,36,,,,,
2418,D. ToÅ¡iÄ,32,185,85,Be?ikta? J.K.,40000,37,47,63,61,74,,,,,
2419,M. ErdinÃ§,30,181,84,Medipol BaÅakÅehir FK,27000,72,72,69,71,42,,,,,
2420,M. Milligan,31,178,78,Melbourne Victory,10000,67,59,68,64,73,,,,,
2421,M. Leye,34,182,75,KAS Eupen,15000,68,72,71,71,38,,,,,
2422,G. Svensson,30,184,77,Seattle Sounders FC,8000,53,45,62,64,70,,,,,
2423,S. Sam,29,174,71,VfL Bochum 1848,20000,73,74,70,78,33,,,,,
2424,C. ChantÃ´me,29,181,75,Racing Club de Lens,24000,58,66,75,72,65,,,,,
2425,R. BrÃ©gerie,30,190,90,FC Ingolstadt 04,21000,60,36,54,49,72,,,,,
2426,A. Costa,31,182,73,Benevento,25000,68,37,49,61,76,,,,,
2427,D. Biseswar,29,173,71,PAOK,1000,75,69,70,79,27,,,,,
2428,L. Christodoulopoulos,30,183,78,AEK Athens,1000,76,74,72,74,54,,,,,
2429,Sergio SÃ¡nchez,31,185,78,RCD Espanyol,37000,67,52,59,56,74,,,,,
2430,A. TraorÃ©,28,174,71,Atiker Konyaspor,19000,84,69,71,78,39,,,,,
2431,F. Peluso,33,188,82,Sassuolo,42000,64,50,59,59,80,,,,,
2432,U. Demirok,28,190,85,Trabzonspor,28000,48,43,56,57,75,,,,,
2433,T. Mykhalyk,33,184,83,Lokomotiv Moscow,35000,60,47,64,58,72,,,,,
2434,Pablo HernÃ¡ndez,32,173,72,Leeds United,34000,71,70,74,78,42,,,,,
2435,M. Heller,31,175,70,FC Augsburg,24000,93,65,63,76,28,,,,,
2436,MÃ¡rcio Azevedo,31,173,82,Shakhtar Donetsk,1000,81,65,68,73,71,,,,,
2437,P. Bengtsson,29,175,77,FC KÃ¸benhavn,20000,77,61,72,72,68,,,,,
2438,M. JedinÃ¡k,32,188,78,Aston Villa,32000,49,67,65,60,76,,,,,
2439,Zeng Cheng,30,192,82,China PR,0,,,,,,72,70,72,33,77
2440,A. Epureanu,30,189,85,Medipol BaÅakÅehir FK,23000,53,53,52,55,76,,,,,
2441,D. Stephens,28,185,71,Brighton & Hove Albion,46000,63,65,73,67,71,,,,,
2442,D. Stockdale,31,191,84,Birmingham City,21000,,,,,,74,69,79,34,69
2443,RÃºben Ribeiro,29,175,67,Rio Ave FC,12000,71,68,72,77,48,,,,,
2444,A. GonzÃ¡lez,32,176,72,Uruguay,0,74,63,73,72,76,,,,,
2445,D. Vera,32,181,74,Club AtlÃ©tico ColÃ³n,14000,65,73,65,72,28,,,,,
2446,C. Beauvue,29,174,66,CD LeganÃ©s,25000,70,72,68,73,44,,,,,
2447,VÃ­ctor DÃ­az,29,184,72,Granada CF,11000,70,56,66,66,70,,,,,
2448,D. Schwaab,28,187,76,PSV,15000,69,39,64,63,75,,,,,
2449,J. Hogg,28,176,73,Huddersfield Town,42000,70,55,65,68,71,,,,,
2450,J. Molina,29,186,77,Monterrey,46000,69,58,65,67,73,,,,,
2451,A. ÃamdalÄ±,33,186,75,Atiker Konyaspor,17000,37,62,67,66,72,,,,,
2452,Y. Mollo,27,174,79,Fulham,42000,81,69,71,79,31,,,,,
2453,M. Dossevi,29,172,65,FC Metz,18000,80,67,71,77,36,,,,,
2454,J. ForlÃ­n,29,180,74,Real Oviedo,10000,64,40,61,58,75,,,,,
2455,V. Bessat,31,178,73,Stade Malherbe Caen,23000,73,63,74,75,64,,,,,
2456,Djalma,30,176,75,PAOK,1000,83,68,69,75,41,,,,,
2457,Fabiano,29,197,91,FC Porto,11000,,,,,,76,70,73,43,74
2458,M. Larrondo,28,191,83,River Plate,23000,62,71,65,69,28,,,,,
2459,Lora,30,164,67,Real Sporting de GijÃ³n,11000,80,59,64,69,68,,,,,
2460,Vasco Fernandes,30,182,76,VitÃ³ria de SetÃºbal,9000,66,40,59,64,74,,,,,
2461,R. Cota,29,183,86,Guadalajara,23000,,,,,,74,70,67,57,77
2462,Dentinho,28,176,71,Shakhtar Donetsk,1000,79,69,67,76,48,,,,,
2463,Kiko Olivas,28,189,83,Real Valladolid CF,10000,40,52,53,56,75,,,,,
2464,A. Adomah,29,182,74,Aston Villa,37000,87,67,67,73,42,,,,,
2465,A. Barnes,27,186,76,Burnley,53000,67,73,63,73,42,,,,,
2466,Claudemir,29,184,77,Al Ahli,38000,62,65,73,69,65,,,,,
2467,S. Privat,27,187,88,En Avant de Guingamp,25000,65,71,58,66,31,,,,,
2468,D. Kombarov,30,182,72,Spartak Moscow,47000,78,70,77,75,68,,,,,
2469,R. Laborde,29,174,65,FC Krasnodar,43000,84,71,66,77,26,,,,,
2470,R. Gestede,28,193,86,Middlesbrough,21000,69,72,50,65,34,,,,,
2471,F. Sammaritano,31,162,65,Dijon FCO,19000,75,64,73,75,23,,,,,
2472,F. AyitÃ©,28,174,68,Fulham,44000,85,71,69,76,26,,,,,
2473,F. Cacciatore,30,182,85,Chievo Verona,16000,75,53,60,63,75,,,,,
2474,K. GroÃkreutz,28,186,77,SV Darmstadt 98,25000,73,65,72,68,69,,,,,
2475,M. Sau,29,169,65,Cagliari,52000,90,72,71,80,22,,,,,
2476,B. Poulain,29,188,83,Club Brugge KV,21000,34,26,58,46,75,,,,,
2477,D. N'Dinga,29,181,70,Sivasspor,15000,68,53,66,63,71,,,,,
2478,A. Costa,32,176,75,UD AlmerÃ­a,11000,63,69,75,73,68,,,,,
2479,Alex BergantiÃ±os,32,177,71,Real Sporting de GijÃ³n,21000,51,46,64,62,72,,,,,
2480,Fidel,27,180,73,UD AlmerÃ­a,11000,85,70,65,78,27,,,,,
